Timestamp,URL,Method,Status,Type,ContentType,Size,Blocked,BlockedBy
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/adchoices_blue_wb.png,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/en.png,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/daca_images/simgad/2771345385311286029,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/adchoices_blue_wb.png,GET,403,Image,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/en.png,GET,403,Image,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/daca_images/simgad/1088393088024425169,GET,403,Other,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/adchoices_blue_wb.png,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/en.png,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/daca_images/simgad/1088393088024425169,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/en.png,GET,403,Image,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/adchoices_blue_wb.png,GET,403,Image,text/plain,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/daca_images/simgad/2771345385311286029,GET,403,Other,text/plain,,No,
2026-01-15 17:48:43,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACsAAAAWBAMAAACrl3iAAAAABlBMVEUAAAD+AciWmZzWAAAAAnRSTlMAApidrBQAAAB8SURBVBjTbZCBDQAhCAPLBt1/2legBZNHYyCctQL8R1Sc5KRTgdk9J7mqJFALrm6Hh2Mlrtwv7UWPNke73+5lJ4pSXb7RfG5ArAwXTfatEBH6teHUTjNGpY8Wf4L+8D3su10oe5V1cVTt/p0gNBauCUdZXrS1MWNcTtbEP24JBde8nGNXAAAAAElFTkSuQmCC",GET,200,Other,image/png,,No,
2026-01-15 17:48:43,https://cdn.ampproject.org/rtv/012509301838000/v0/amp-form-0.1.js,GET,200,Script,text/javascript; charset=UTF-8,14977,No,
2026-01-15 17:48:43,https://cdn.ampproject.org/rtv/012509301838000/v0/amp-fit-text-0.1.js,GET,200,Script,text/javascript; charset=UTF-8,2507,No,
2026-01-15 17:48:43,https://cdn.ampproject.org/rtv/012509301838000/v0/amp-analytics-0.1.js,GET,200,Script,text/javascript; charset=UTF-8,32246,No,
2026-01-15 17:48:43,https://cdn.ampproject.org/rtv/012509301838000/v0/amp-ad-exit-0.1.js,GET,200,Script,text/javascript; charset=UTF-8,6639,No,
2026-01-15 17:48:43,https://cdn.ampproject.org/rtv/012509301838000/amp4ads-v0.js,GET,200,Script,text/javascript; charset=UTF-8,63635,No,
2026-01-15 17:48:43,https://securepubads.g.doubleclick.net/pagead/adview?ai=CpJ5ZeyhpabacBPS6x_AP3rS7mQj50qTnfsvEzYT0E7SgzpjKKhABIJrd5B9ggwWgAcbV_foCyAECqQJo5ALi8JWOPuACAKgDAcgDCKoErwJP0KKATqZ1qeLZhnQhnpfW5OKi7HRhzKm4Mc8qKG01tVIFcUipqafGzR8RzidJI9-qqEStVzfAqxDcMdKK4RuygdPBQwMG_wldH2imLwakkU3O4ft1XzkErlE5MLc_ppfnuyafQf0DmH7ocoL94rJp8lKQChxu_QQpOKsGZtvGKFMjSwd59JyGGpLIoxanA_KfWOVGOFjF07w2dQZ9xTKc-RJcUKzZIoJRjKx37hc4nQXTCw2_CqKserwALsLNFzVD24YTAhVmY2m1UG6Cg0opdrl8zDlTOSRn6IjREbcMQDU_T01SqfuKy5tudQTKaiHKatznx3ieCfm2-ajJVlSfVK1G8SRHA3Un8NX86GjfYA3P_z07TgzdWNx2v4aYTldVCJv_e7_af6gGG_sVn2LABOG0pJ-jBeAEAYgF8fu231OSBQQIBBgBkgUECAUYBKAGAoAHoqqChQGoB6fMsQKoB-LYsQKoB6a-G6gHzM6xAqgH89EbqAeW2BuoB6qbsQKoB47OG6gHk9gbqAfw4BuoB-6WsQKoB_6esQKoB6--sQKoB9XJG6gH2baxAqgH98KxAtgHAfIHBBCTww7SCDIIgOGAEBABGJ0BMgiqgoCAgICACDoOgMADgICEgICUruADqAdIvf3BOliX_LyvjY6SA5oJaGh0dHBzOi8vcHJvbW8uYm13LWF1dG9jb2JhbGNlc2N1LnJvL2Rlc2NvcGVyYS1pbi1kZXRhbGl1LWJtdy14NS8_Z2FkX3NvdXJjZT01JmdhZF9jYW1wYWlnbmlkPTIyNDgwMjcyODgxgAoDyAsBogwDkAEBqg0CUk_iDRMIsvq9r42OkgMVdN0RCB1e2i6D6g0TCLvpvq-NjpIDFXTdEQgdXtoug4gO____________AdgTDdAVAZgWAcoWAgoA-BYBgBcBshcsChwIABIUcHViLTcwODA1OTY2NjQ1NTUzNDUYtZwPGAEqCjI4ODgyMTU3MTe6FwI4AaoYFwkAAAAAmAwNQRIKMjg4ODIxNTcxNxgBshgJEgKoThgCIgEA0BgBwhkCCAE&sigh=o2RAWP60u3E&uach_m=%5BUACH%5D&ase=2&nis=ATTRIBUTION_REPORTING_STATUS&cid=CAQSUQDnonV5bFamh0AQmAXTQQzFy4EqPPx4_xhqujZIEAgyRgW2DZPpKjMfQv3WsnG_G5aFMSpAVQ7TAFkXVfs-54-3kQSSxJyWQkCWekrygySvQxgB&ebtr=1,GET,,Image,,,No,
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/en.png,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/pagead/images/adchoices/adchoices_blue_wb.png,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
2026-01-15 17:48:43,https://tpc.googlesyndication.com/daca_images/simgad/2771345385311286029,GET,,Image,,,Yes,00000000-0000-0000-0000-000000000003
